#{"t_start": 1752288561.919102, "env_id": "None"}
r,l,t
-2.392648,500,82.392034
1.646065,500,127.167487
-0.406462,500,170.380531
0.462407,500,212.918931
6.605322,500,287.017467
-3.97488,500,330.538671
13.840645,500,374.248897
11.145002,500,418.423043
0.987182,500,494.464673
-2.316978,500,538.08403
8.813999,500,580.885856
-2.323199,500,622.897563
4.803226,500,698.460977
10.199884,500,742.797273
-1.705362,500,786.436393
6.848144,500,828.067952
3.217095,500,900.845693
9.489349,500,944.089166
0.303192,500,987.73642
0.592332,500,1029.947193
1.465537,500,1102.4256
2.481993,500,1145.706902
5.489111,500,1189.457363
12.344622,500,1232.939427
8.33975,500,1308.566179
-2.627317,500,1352.152379
11.46078,500,1395.839621
-2.329217,500,1442.172661
13.192045,500,1518.448919
9.277702,500,1561.470931
7.868881,500,1604.927108
6.033566,500,1649.35187
1.764121,500,1725.161488
13.466742,500,1770.989015
8.356126,500,1814.214974
10.29919,500,1855.330801
15.323779,500,1928.041488
17.596907,500,1971.219176
19.068561,500,2014.814106
6.350604,500,2060.00743
5.845499,500,2136.421079
-0.389869,500,2178.633174
9.136211,500,2221.124961
3.376717,500,2265.870042
1.492079,500,2340.196955
14.284157,500,2384.121536
1.207214,500,2426.099673
4.131888,500,2468.169435
13.118086,500,2546.350707
14.267751,500,2590.972594
10.091529,500,2635.697885
7.856075,500,2679.449763
23.660771,500,2758.151525
12.37557,500,2802.224479
9.721566,500,2844.87853
2.418028,500,2891.619629
8.113918,500,3023.721232
6.358428,500,3095.336518
3.435317,500,3169.997518
8.794897,500,3244.371095
1.959763,500,3401.185937
7.023451,500,3491.897181
-1.406058,500,3573.108179
6.772872,500,3659.244211
8.252978,500,3781.104929
7.11131,500,3851.442033
0.255071,500,3921.873706
7.405747,500,3992.40706
-0.252883,500,4115.329881
5.282134,500,4186.419107
10.272397,500,4257.892531
6.910921,500,4328.365386
5.334509,500,4451.705463
10.276433,500,4526.735725
6.806949,500,4601.694917
3.57131,500,4677.279161
9.410545,500,4803.952488
8.181429,500,4881.75964
15.609762,500,4955.995035
18.753119,500,5026.933805
-1.644343,500,5165.870693
3.605865,500,5239.003522
8.066927,500,5327.331064
13.816641,500,5401.154588
8.976319,500,5525.705824
7.394633,500,5596.547515
6.155951,500,5667.566817
2.110571,500,5737.513295
2.499181,500,5862.1848
3.830271,500,5943.399089
2.927273,500,6016.869551
10.545888,500,6089.772129
0.943963,500,6221.430071
14.221806,500,6294.821492
5.51201,500,6368.016169
2.485025,500,6442.120832
5.823646,500,6572.044326
3.573517,500,6644.51215
6.593534,500,6717.656405
-2.406816,500,6794.671694
8.634656,500,6918.406155
16.511998,500,6988.966691
9.572998,500,7066.437156
9.688315,500,7141.108039
0.584436,500,7279.139979
8.50841,500,7350.304598
6.337263,500,7421.931454
-3.855833,500,7492.729318
3.917011,500,7617.451548
23.613221,500,7691.330939
6.905529,500,7762.575165
6.211822,500,7833.185393
5.019034,500,7957.515939
10.532969,500,8028.670251
12.441657,500,8100.388089
15.13159,500,8173.033532
6.643655,500,8312.598299
9.227752,500,8384.801601
3.826492,500,8464.81098
6.413843,500,8540.17234
-1.505641,500,8671.117964
3.241412,500,8745.047357
1.224996,500,8817.13448
13.667209,500,8894.440292
13.797691,500,9018.239016
5.366633,500,9094.64821
7.251951,500,9175.286151
13.191924,500,9250.840681
7.45661,500,9407.106779
7.994215,500,9480.283079
3.410674,500,9553.445741
2.962222,500,9623.982844
9.044696,500,9746.455612
9.586685,500,9815.837165
5.478327,500,9885.549896
14.566381,500,9962.194177
15.596648,500,10095.087922
10.954304,500,10167.37811
7.848855,500,10248.258116
1.215761,500,10325.26329
7.894769,500,10452.576613
2.936437,500,10529.659778
6.067758,500,10604.212008
7.064567,500,10681.208857
-0.543875,500,10810.183728
6.577662,500,10887.154485
11.819441,500,10960.784782
0.695357,500,11034.082346
4.702652,500,11173.228617
11.49284,500,11275.156986
12.194781,500,11365.331154
7.568676,500,11443.737616
12.886981,500,11573.617646
4.072788,500,11661.906845
2.043062,500,11737.885144
15.293168,500,11820.179714
10.359427,500,11945.026069
9.159878,500,12015.81823
10.812525,500,12087.996994
7.114056,500,12160.524579
10.307734,500,12289.900052
4.112,500,12363.725266
10.86444,500,12442.07498
4.713934,500,12513.529373
18.096545,500,12637.248656
8.632173,500,12707.961904
18.765788,500,12779.061385
12.555596,500,12851.613548
13.182799,500,12978.100456
10.544641,500,13050.70414
14.422501,500,13122.355294
12.521107,500,13193.684633
6.624438,500,13321.702078
13.52642,500,13394.278947
14.079448,500,13466.483224
6.336446,500,13537.368961
15.606749,500,13662.878401
11.422248,500,13734.362983
17.551398,500,13806.438761
4.320247,500,13877.531087
14.360383,500,14001.62269
6.806122,500,14073.667975
4.575703,500,14145.615297
14.557619,500,14217.01786
-1.818473,500,14341.553983
2.081952,500,14412.148107
0.288482,500,14482.813718
10.096144,500,14553.3624
3.825825,500,14678.655862
16.89538,500,14750.408527
5.735189,500,14820.166067
10.366665,500,14889.954811
13.431784,500,15012.69723
6.252045,500,15082.297646
9.273303,500,15152.238148
11.111932,500,15221.669408
16.481858,500,15343.472281
15.333407,500,15412.727973
15.935977,500,15481.908227
10.711452,500,15551.136751
